TeamID,Team Name,Championships Since 1980,Playoff Appearances Since 1980,Playoff Wins Since 1980,Playoff Losses Since 1980
0,Chicago Bulls,6,26,166,120
1,Cleveland Cavaliers,1,19,118,93
2,Dallas Mavericks,1,22,93,109
3,Toronto Raptors,1,12,55,62
4,New York Knicks,0,21,97,106
5,Miami Heat,3,21,138,107
6,Golden State Warriors,3,13,104,65
7,Portland Trail Blazers,0,32,90,138
8,Utah Jazz,0,29,127,148
9,LA Clippers,0,12,44,57
10,Los Angeles Lakers,10,32,277,165
11,San Antonio Spurs,5,35,212,166
12,Boston Celtics,4,30,210,174
13,Oklahoma City Thunder,0,27,126,136
14,Houston Rockets,2,29,145,142
15,Washington Wizards,0,15,38,59
16,Orlando Magic,0,16,59,74
17,Charlotte Hornets,0,10,23,40
18,Sacramento Kings,0,12,42,52
19,Phoenix Suns,0,24,108,115
20,Indiana Pacers,0,27,115,126
21,Atlanta Hawks,0,25,76,116
22,New Orleans Pelicans,0,7,20,29
23,Memphis Grizzlies,0,10,29,46
24,Detroit Pistons,3,23,148,119
25,Milwaukee Bucks,0,24,81,109
26,Brooklyn Nets,0,20,63,86
27,Philadelphia 76ers,1,23,112,113
28,Minnesota Timberwolves,0,9,18,34
29,Denver Nuggets,0,23,68,105
